entitytype,authoritydoc,authoritydocconceptschemename
FEATURE_EVIDENCE_NUMBER_TYPE.E55,FEATURE_EVIDENCE_NUMBER_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE.E55,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE.E55,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_TYPE.E55,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FROM_DATE.E55,FROM_DATE_AUTHORITY_DOCUMENT.csv,Eamena
GRIDSQUARE.E55,GRIDSQUARE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_BANDS_TYPE.E55,IMAGERY_BANDS_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_CAMERA_SENSOR_RESOLUTION_TYPE.E55,IMAGERY_CAMERA_SENSOR_RESOLUTION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_CAMERA_SENSOR_TYPE.E55,IMAGERY_CAMERA_SENSOR_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_PLATFORM_TYPE.E55,IMAGERY_PLATFORM_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_SAMPLED_RESOLUTION_TYPE.E55,IMAGERY_SAMPLED_RESOLUTION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_SENSOR_TYPE.E55,IMAGERY_SENSOR_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
MAP_SOURCE_TYPE.E55,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
MODERN_COUNTRY_TERRITORY.E55,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Eamena
PLACE_TOPOGRAPHY_TYPE.E55,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
PROCESSING_TYPE.E55,PROCESSING_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
RELATIONSHIP_CERTAINTY_TYPE.E55,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
RESOURCE_TO_RESOURCE_RELATIONSHIP_TYPE.E55,RESOURCE_TO_RESOURCE_RELATIONSHIP_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SCALE_TYPE.E55,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SERIES_TYPE.E55,SERIES_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_FUNCTION_CERTAINTY_TYPE.E55,SITE_FUNCTION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_FUNCTION_TYPE.E55,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_LOCATION_CERTAINTY_TYPE.E55,SITE_LOCATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_MORPHOLOGY_TYPE.E55,SITE_MORPHOLOGY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE.E55,SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_INTERPRETATION_CERTAINTY_TYPE.E55,SITE_OVERALL_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_INTERPRETATION_TYPE.E55,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_SHAPE_TYPE.E55,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_SIZE_CERTAINTY_TYPE.E55,SITE_SIZE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
IMAGERY_SOURCE_TYPE.E55,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CAUSE_CERTAINTY_TYPE.E55,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CAUSE_TYPE.E55,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
