conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
TO:049,8150 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:050,8100 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:051,8050 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:052,8000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:053,7950 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:054,7900 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:055,7850 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:056,7800 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:057,7750 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:058,7700 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:059,7650 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:060,7600 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:061,7550 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
